Fellow	Year	Citation
Seth Bank	2022	For contributions to the growth of optoelectronic materials by molecular beam epitaxy 
Robert Bannon	2003	For leadership in ocean engineering and the practical application of sensor technologies. 
Mihai Banu	2002	For contributions to the art of fully integrated continuous-time analog-filter design 
Prabhakar Bapat	1991	For contributions to the growth of small-scale electrical machinery manufacturing industry. 
Farhan Baqai	2023	For contributions in leadership in digital camera image processing 
Avram Bar-Cohen	1993	For contributions to the understanding of thermal phenomena in electronic packaging. 
Mesut Baran	2011	For developments in analysis, monitoring and control methods for electric power distribution systems 
Edward Baranoski	2016	For leadership in knowledge-aided radar systems for indoor environments 
John S Baras	1984	For contributions to distributed parameter systems theory, quantum and nonlinear estimation, and control of queuing systems. 
Sergio Barbarossa	2012	For contributions to signal processing, sensor networks, and wireless communications 
David Barbe	1978	For contributions to the theory, understanding, and development of charge-coupled devices. 
Ivo Barbi	2011	For contributions to soft switching converter technology 
Joseph Bardin	2024	For contributions to cryogenic microwave circuits 
Timothy Barfoot	2021	For contributions to mobile robot navigation 
Paul Barford	2018	For contributions to Internet measurement and  security 
Alexander Barg	2008	For contributions to coding theory 
B. Ross Barmish	1995	For contributions to robust control theory for systems with real parametric uncertainty 
Hugh Barnaby	2017	For research of radiation effects in bipolar junction transistors 
Kenneth Barner	2016	For contributions in nonlinear signal processing 
Frank Barnes	1970	For leadership in engineering education, and for outstanding contributions to laser technology and the design of xenon-krypton flashlamps 
Allen Barnett	1998	For contributions and technical leadership in the development and commercialization of photovoltaic solar cells. 
Mauro Barni	2012	For contributions to signal and image processing for multimedia security 
Thomas Barnwell	1988	For contributions to algorithms for digital coding of speech signals. 
Isaac Barpal	1991	For leadership in introducing modern electronic transpiration technology in developing regions. 
John Barr	2002	For contributions and leadership in RF & microwave component measurements & instrumentation for design and manufacturing 
Roger Barr	1996	For contributions to the theory of the electrocardiogram and its origin from currents and voltages within the heart. 
Harrison Barrett	2006	For contributions to medical imaging, image processing and optics. 
D Barrick	2011	For development of high frequency radars and applications 
Andrew Barron	2013	For contributions to information theory and statistics 
Joao Barros	2023	For contributions to physical-layer security and vehicular networking 
Bruce Barrow	1970	For contributions to the field of standardization and to communication theory and practice. 
Yaakov Barshalom	1984	For contributions to the theory of stochastic systems and of multitarget tracking. 
Janet Barth	2017	For leadership in spacecraft reliability and electronic systems 
Matthew Barth	2014	For pioneering research in intelligent transportation systems 
John Barth	2013	For contributiions to design and development of embedded dynamic random access memory 
Lionel Barthold	1972	For contributions to EHV and UHV technology. 
William Bartley	2014	For contributions to the development of generator and transformer standards for life cycle planning and risk assessment 
Andrew Barto	2006	For contributions to reinforcement learning methods and their neural network implementations. 
Fil Bartoli	2005	For leadership in optoelectronic materials and devices. 
David Barton	1971	For contributions to precision tracking radar and radar systems engineering. 
James Barton	2006	For contributions to the design of digital signal processing integrated circuits. 
Christopher Barty	2017	For contributions to ultrahigh intensity lasers and advancement of X-ray and gamma-ray science 
Sanjoy Baruah	2013	For contributions to the design of real-time embedded systems 
Tamer Basar	1983	For contributions to multiperson decision making and deterministic and stochastic dynamic game theory. 
