Fellow,Year,Country,University,Citation
Xing Bi Chen,2019,China,Shanghai Jiao Tong University,For contributions to power super-junction metal-oxide-semiconductor field-effect transistors 
Shu-Ching Chen,2016,United States,Florida International University,For contributions to multimedia data and disaster information management 
Yaow-Ming Chen,2021,Taiwan,National Chiao Tung University,For contributions to grid-connected power converters for renewable energy applications 
Z Chen,2019,,,For contributions to power electronics for wind energy conversion 
Xiaodong Chen,2015,United Kingdom,Queen Mary University of London,For contributions to antennas for wireless communications and satellites 
Xinkai Chen,2022,China,Tsinghua University,For contributions to nonlinear adaptive control and nonlinear observer design for mechatronic systems 
Biao Chen,2015,United States,Syracuse University,For contributions to decentralized signal processing in sensor networks and interference management of wireless networks 
Yan Chen,2017,United States,Northwestern University,"For contributions to design, measurement, and security of networking systems "
Baoxing Chen,2022,United States,Intel Corporation,For contributions to integrated signal-power isolation and integrated magnetics 
Yi-Jan Emery Chen,2018,United States,"University of California, Los Angeles",For contributions to monolithic RF CMOS power amplifiers and transceiver frontends 
Hong Chen,2024,China,Tongji University,For contributions to economic efficiency equilibrium and risk mitigation in power system operations 
Jingdong Chen,2021,USA,Northwestern Polytechnical University,For contributions to microphone array processing and speech enhancement in noisy and reverberant environments 
Xilin Chen,2016,China,"Institute of Computing Technology, Chinese Academy of Sciences",For contributions to machine vision for facial image analysis and sign language recognition 
Wen-Hua Chen,2018,UK,Loughborough University,For contributions to the applications of nonlinear disturbance observer based control 
Yonghong Chen,2023,China,"Institute of Acoustics, Chinese Academy of Sciences",For contributions in wholesale electricity market design and operations 
Baoquan Chen,2020,China,Peking University,For contributions to spatial data visualization 
Shuo-Wei Chen,2024,Taiwan,National Chiao Tung University,For contributions to data converter architectures and clock generation techniques 
Hong Chen,2023,China,Tongji University,For contributions to predictive control and applications in automotive systems 
Deming Chen,2019,USA,University of Illinois at Urbana-Champaign,For contributions to FPGA high-level synthesis 
Yingying Chen,2020,USA,Rutgers University,For contributions to mobile computing and mobile security 
Shigang Chen,2016,USA,University of Florida,For contributions to quality of service provisioning and policy-based security management in computer networks 
Minghua Chen,2022,Hong Kong,The Chinese University of Hong Kong,For contributions to delay-critical networked systems 
Ke-Horng Chen,2024,Taiwan,National Yang Ming Chiao Tung University,For contributions to power management integrated circuits and system design 
Zhihong Chen,2022,USA,Purdue University,For contributions to the understanding and applications of low-dimensional nanomaterials 
Yiran Chen,2018,USA,Duke University,For contributions to spintronic memory 
Kuan-Neng Chen,2018,Taiwan,National Chiao Tung University,For contributions to 3D integrated circuit and packaging technologies 
Enhong Chen,2024,China,University of Science and Technology of China,For contributions to context-aware data mining and recommender systems 
Haibo Chen,2023,China,Shanghai Jiao Tong University,For contributions to the design and implementation of distributed operating systems 
Guihai Chen,2023,China,Shanghai Jiao Tong University,For contributions to large-scale distributed network architecture 
Hao Chen,2023,USA,"University of California, Davis",For contributions to the security of software and mobile systems 
George Chen,2020,China,Shanghai Jiao Tong University,For contributions to space charge measurement and interpretation for dielectric performance improvements 
Wei Chen,2020,China,Tsinghua University,For contributions to algorithmic development for influence maximization in social networks 
Jiming Chen,2019,China,Zhejiang University,For contributions to resource allocation and optimization in wireless sensor networks 
Jinjun Chen,2022,Australia,Swinburne University of Technology,For contributions to scalable architecture for cloud data storage and processing 
Lei Chen,2020,Hong Kong,Hong Kong University of Science and Technology,For contributions to time series management and spatial crowdsourcing 
Min Chen,2021,China,Huazhong University of Science and Technology,"For contributions to data-driven communication, caching, and computing "
Jie Chen,2019,USA,Georgia Institute of Technology,For contributions to optimization and control of complex systems 
Xudong Chen,2020,China,Peking University,For contributions to optimization methods for electromagnetic inverse scattering 
Hongsheng Chen,2022,China,Zhejiang University,For contributions to electromagnetic metamaterial and invisibility cloak 
Alexander Chenakin,2024,USA,Anritsu Company,For contributions to microwave frequency synthesizer technologies 
KaWai Cheng,2020,Hong Kong,The Chinese University of Hong Kong,For contribution to electric vehicle technology and switched-capacitor power conversion 
Julian Cheng,2023,Canada,University of British Columbia,For contributions to mathematical modeling of wireless systems and energy-efficient resource management of wireless networks 
Po-tai Cheng,2018,Taiwan,National Tsing Hua University,For contributions to power converters for microgrid applications 
